counter	timestamp	deadtime	ch1_height	ch2_height	Delta_T
39	1719999632.9542265	0.011296803776250837	2312	1868	-20
40	1719999633.0602655	0.004629000860156639	647	2132	-19
41	1719999633.16566	0.0027604775762190975	243	689	-22
42	1719999633.2723396	0.0026596755195866105	935	3253	-21
43	1719999633.3782444	0.0024903627913679433	266	2791	-18
44	1719999633.4849825	0.0058037542966036795	1151	330	-18
45	1719999633.5907688	0.0025846103750737735	308	1730	-18
46	1719999633.6960485	0.0025568265457024254	590	3119	-18
47	1719999633.8012955	0.002647929563714531	596	2336	-18
48	1719999633.9066036	0.0025608107649148547	236	316	-21
49	1719999634.0160072	0.002964418268309258	1155	551	-19
50	1719999634.1220992	0.002886061268113743	2094	1017	-18
51	1719999634.2275796	0.0025640677782149206	240	673	-20
52	1719999634.3327558	0.004020055004130969	1060	1774	-19
53	1719999634.4381914	0.0027170898156680984	503	2156	-20
54	1719999634.5448954	0.0031534257772457552	2439	2142	-20
55	1719999634.6502035	0.0025170655229990917	1222	1669	12
56	1719999634.7624974	0.004677024751374194	380	1707	-18
57	1719999634.8680742	0.0045321247667288725	721	2741	-19
58	1719999634.973353	0.005139939434267168	1738	1829	-21
59	1719999635.078709	0.00803498297558367	1986	3276	-20
60	1719999635.1843972	0.002805224021062992	201	2485	-19
61	1719999635.2931764	0.0049421592424938226	263	2648	-18
62	1719999635.40476	0.02437573444546618	3393	1075	-22
63	1719999635.5241349	0.002447815630526709	1080	1643	-18
64	1719999635.6292424	0.004212757861549751	332	1031	-19
65	1719999635.7346468	0.0030390869151682596	804	3111	-23
66	1719999635.8399725	0.002735271874249951	2446	834	-20
67	1719999635.9451294	0.004258228386830959	958	3061	-23
68	1719999636.0527897	0.002862743532771872	1447	1731	-20
69	1719999636.1610034	0.007303752769065427	2250	464	-19
70	1719999636.2670465	0.002573563470311381	550	2690	-18
71	1719999636.372332	0.0027215258658165485	531	2710	-18
72	1719999636.4775267	0.0029706066291432147	3181	2072	-15
73	1719999636.5834467	0.0026928021578441373	633	2808	-17
74	1719999636.6925018	0.004362419036645193	490	2554	-18
75	1719999636.802566	0.0028442188161020535	3380	622	-22
76	1719999636.9081273	0.002555470197478422	587	1934	-19
77	1719999637.0136666	0.017807170917697724	276	354	-15
78	1719999637.1204355	0.0029990819136998877	1978	1059	-22
79	1719999637.2255912	0.002594810379241517	2543	440	-18
80	1719999637.3306105	0.004220317815770208	566	1305	-23
81	1719999637.4365475	0.002927185417704176	368	3197	-19
82	1719999637.5416446	0.004369839274185328	2727	2133	-24
83	1719999637.64693	0.002543138064492711	679	225	-19
84	1719999637.7521312	0.0025088899012082107	2000	778	-19
85	1719999637.8573306	0.002610557802780516	769	2487	-19
86	1719999637.96245	0.002259799839817401	580	1953	-19
87	1719999638.0681505	0.0027279531784036287	520	1289	-23
88	1719999638.173354	0.002581700976014434	440	1695	-21
89	1719999638.2786782	0.002501550735071062	3323	2963	-16
90	1719999638.3838437	0.002747047264172112	1129	1162	-20
91	1719999638.4914384	0.0032046668098837505	1827	1714	-24
92	1719999638.5967674	0.0025529158058787286	553	3102	-20
93	1719999638.7026348	0.0028142694719304764	611	537	-22
94	1719999638.8113885	0.002447309385080623	703	261	-65
95	1719999638.9166794	0.002563185233154756	1330	1915	-20
96	1719999639.021839	0.0025936102873829023	754	257	-18
97	1719999639.1269736	0.002684776816589381	719	1532	-21
98	1719999639.2321868	0.002841160117724625	317	2353	-18
99	1719999639.3382273	0.00280378454703253	3438	335	-21
100	1719999639.4553046	0.005112320753950522	595	1071	-24
101	1719999639.5609834	0.0021283388315419816	258	634	-22
102	1719999639.666097	0.0024036444692367522	614	2918	-20
103	1719999639.7711277	0.004295715612751207	885	1237	-17
104	1719999639.8812342	0.0043984112038269645	2560	404	-18
